Ticker,Name
OVV,Ovintiv Inc
MIME,Mimecast Ltd
FHI,Federated Hermes Inc
GT,Goodyear Tire & Rubber Co.
CIT,CIT Group Inc
AA,Alcoa Corp
CIM,Chimera Investment Corp
KAR,KAR Auction Services Inc
BKU,BankUnited Inc
CHX,ChampionX Corporation
APG,APi Group Corporation
WCC,"Wesco International, Inc."
CVET,Covetrus Inc
VIR,Vir Biotechnology Inc
CMD,Cantel Medical Corp
HGV,Hilton Grand Vacations Inc
X,United States Steel Corp.
ONTO,Onto Innovation Inc.
RPAI,Retail Properties of America Inc
CXP,Columbia Property Trust Inc
TCBI,"Texas Capital Bancshares, Inc."
BIPC,Brookfield Infrastructure Corp
TWO,Two Harbors Investment Corp
CRNC,Cerence Inc
NAVI,Navient Corp
REZI,Resideo Technologies Inc
ARNC,Arconic Corporation
MD,MEDNAX Inc
OI,O-I Glass Inc
SMCI,Super Micro Computer Inc
MAC,Macerich Co.
CNK,Cinemark Holdings Inc
SITC,SITE Centers Corp
BRMK,Broadmark Realty Capital Inc
SDGR,Schrodinger Inc
RRC,Range Resources Corp
UFS,Domtar Corporation
VVNT,Vivint Smart Home Inc
CLNY,Colony Capital Inc.
MFA,MFA Financial Inc
SWBI,Smith & Wesson Brands Inc
PRDO,Perdoceo Education Corporation
RIG,Transocean Ltd
URBN,"Urban Outfitters, Inc."
PIPR,Piper Sandler Co`s
DHC,Diversified Healthcare Trust
EPAC,Enerpac Tool Group Corp
ABR,Arbor Realty Trust Inc.
PBF,PBF Energy Inc
SBGI,"Sinclair Broadcast Group, Inc."
RPAY,Repay Holdings Corporation
WKHS,Workhorse Group Inc
AMCX,AMC Networks Inc
IGT,International Game Technology PLC
SWTX,SpringWorks Therapeutics Inc
VIE,Viela Bio Inc
FRO,Frontline Ltd
BRBR,Bellring Brands Inc
ONEM,1life Healthcare Inc
SPNS,Sapiens International Corp NV
KOS,Kosmos Energy Ltd
PFC,Premier Financial Corp
PGNY,Progyny Inc
ARCT,Arcturus Therapeutics Holdings Inc
AR,Antero Resources Corp
M,Macy`s Inc
PRVB,Provention Bio Inc
RLMD,Relmada Therapeutics Inc
FREQ,Frequency Therapeutics Inc
SHYF,Shyft Group Inc (The)
PAE,PAE Incorporated
PING,Ping Identity Holding Corp
IHRT,iHeartMedia Inc
DRRX,Durect Corp
FCEL,Fuelcell Energy Inc
BDTX,Black Diamond Therapeutics Inc
IMVT,Immunovant Inc
IGMS,IGM Biosciences Inc
ZNTL,Zentalis Pharmaceuticals Inc
APLT,Applied Therapeutics Inc
OPCH,Option Care Health Inc.
CODX,Co-Diagnostics Inc
RVMD,Revolution Medicines Inc
NLTX,Neoleukin Therapeutics Inc
QTNT,Quotient Ltd
FRG,Franchise Group Inc
SVC,Service Properties Trust
VERI,Veritone Inc
FLR,Fluor Corporation
ACEL,Accel Entertainment Inc
PASG,Passage Bio Inc
NEX,NexTier Oilfield Solutions Inc
PHAT,Phathom Pharmaceuticals Inc
RGP,Resources Connection Inc
PGEN,Precigen Inc
BRP,BRP Group Inc
BEAM,Beam Therapeutics Inc
VMD,Viemed Healthcare Inc
ARQT,Arcutis Biotherapeutics Inc
VXRT,Vaxart Inc
OVID,Ovid Therapeutics Inc
BGCP,BGC Partners Inc
NK,NantKwest Inc
ORIC,ORIC Pharmaceuticals Inc
GSKY,GreenSky Inc
BCLI,"Brainstorm Cell Therapeutics, Inc."
RAPT,RAPT Therapeutics Inc
TRUE,Truecar Inc
XPEL,XPEL Inc
VSTM,Verastem Inc
ALRS,Alerus Financial Corp
PTEN,Patterson-UTI Energy Inc
APRE,Aprea Therapeutics Inc
OPRT,Oportun Financial Corp
NLS,Nautilus Inc
KROS,Keros Therapeutics Inc
STSA,Satsuma Pharmaceuticals Inc
MCBS,MetroCity Bankshares Inc
ISEE,IVERIC bio Inc
MCF,Contango Oil & Gas Company
SITM,SiTime Corp
CYBE,Cyberoptics Corp.
APT,Alpha Pro Tech Ltd.
KRMD,"Repro-Med Systems, Inc."
SI,Silvergate Capital Corp
SPT,Sprout Social Inc
MGI,Moneygram International Inc.
GAN,GAN Limited
HEAR,Turtle Beach Corp
AWH,Aspira Women`s Health Inc
STXS,Stereotaxis Inc
PRTS,CarParts.com Inc
COFS,"Choiceone Financial Services, Inc."
PACK,Ranpak Holdings Corp
SELB,Selecta Biosciences Inc
ICAD,Icad Inc
AGRX,Agile Therapeutics Inc
UTI,Universal Technical Institute Inc
FENC,Fennec Pharmaceuticals Inc
GRWG,GrowGeneration Corp
PLYM,Plymouth Industrial Reit Inc
DYAI,"Dyadic International Inc., DE"
LAKE,"Lakeland Industries, Inc."
INFU,InfuSystem Holdings Inc
IDYA,Ideaya Biosciences Inc
LUNA,Luna Innovations Inc
LYTS,LSI Industries Inc.
OYST,Oyster Point Pharma Inc
VERU,Veru Inc
HCHC,HC2 Holdings Inc
FLGT,Fulgent Genetics Inc
CMCL,Caledonia Mining Corporation Plc
GNSS,Genasys Inc
NBSE,NeuBase Therapeutics Inc
ASPU,Aspen Group Inc
FBIO,Fortress Biotech Inc
GDYN,Grid Dynamics Holdings Inc
IMRA,Imara Inc
ARAV,Aravive Inc
SMSI,"Smith Micro Software, Inc."
XCUR,Exicure Inc
CABA,Cabaletta Bio Inc
AGTC,Applied Genetic Technologies Corp
SREV,ServiceSource International Inc
ALTG,Alta Equipment Group Inc
HBT,HBT Financial Inc
NYMX,Nymox Pharmaceutical Corp
ONEW,Onewater Marine Inc
ATOM,Atomera Inc
ASPN,Aspen Aerogels Inc.
CATB,Catabasis Pharmaceuticals Inc
XOMA,XOMA Corp
AUBN,Auburn National Bancorp Inc.
AHCO,AdaptHealth Corp
IDN,Intellicheck Inc
CDTX,Cidara Therapeutics Inc
RESN,Resonant Inc
PCTI,PCTEL Inc
FONR,Fonar Corp.
PXLW,Pixelworks Inc
QMCO,Quantum Corp
PWFL,PowerFleet Inc
HROW,Harrow Health Inc
HBIO,Harvard Bioscience Inc.
MBCN,Middlefield Banc Corp.
NH,NantHealth Inc
VOXX,VOXX International Corp
IBIO,iBio Inc
